request_id,arrival_time,input_len,output_len,service_time,slo_deadline
0,5.435901552904456,426,363,1.4333,4.143396201334018
1,15.051953560487535,360,138,0.6836,1.0166034238984487
2,21.34006437865114,92,95,0.4254,0.5977780359939218
3,30.487293038893544,1297,1282,4.76605,16.947718917171084
4,34.07973135365353,635,285,1.2777500000000002,4.083780170979819
5,35.30465154270736,195,401,1.4509500000000002,4.834595735621248
6,38.08424568969472,555,67,0.54415,1.0275036516078877
7,47.6104301478393,522,97,0.6253,0.8476261294590117
8,50.97428783446044,618,308,1.3437000000000001,4.811082589039654
9,57.26862151377962,260,281,1.0962,2.0208888869020907
10,64.15032566544049,1944,789,3.4796,9.318445075219719
11,67.60355679864118,355,302,1.20615,1.941015290365696
12,72.68249815863636,1773,939,3.8826500000000004,6.741080609711982
13,84.41801492000056,938,1171,4.2493,6.94356016504231
14,93.44771883348943,176,46,0.3064,0.679150553551524
15,107.34626177684922,1079,763,3.00715,5.700006912406564
16,111.05891545915647,612,411,1.6706,3.6938243085986975
17,125.40896901760823,1878,839,3.6099,12.55431452913728
18,126.46423434622935,325,147,0.69665,1.291835986073357
19,129.58954654300553,488,304,1.2724,2.536570330293813
20,143.61427145882078,129,104,0.47085000000000005,0.6697192519811982
21,146.0944215830529,80,73,0.3496,0.4822476313121359
22,147.1169305707035,181,88,0.44305,1.2222606953488417
23,150.5298977923065,894,1273,4.5559,6.206175615501363
24,151.8326844231415,444,124,0.6766000000000001,1.8174601228233322
25,157.01085699741043,620,179,0.9318,1.568722961656124
26,166.05883716779658,1356,1024,3.967,6.552785669036065
27,166.64776351031864,323,349,1.34215,4.951995680097557
28,171.80797775488594,274,148,0.6769000000000001,1.8646086990182218
29,175.7041100908911,461,143,0.74505,2.034398924820806
30,176.08853796545887,300,54,0.38780000000000003,0.7344415206222331
31,179.51512598589207,254,146,0.6615,1.2633119052447692
32,181.97136540050198,273,141,0.65405,1.183451546428307
33,182.67940106504753,706,531,2.0969,4.493148075848617
34,195.23784295063666,216,389,1.4220000000000002,2.252950118605614
35,207.43991904753415,406,90,0.5507,1.1007537811152008
36,208.6140117454049,948,1272,4.577,11.078053943033046
37,215.75537370655633,577,274,1.21645,3.295240173428202
38,221.38992028511524,649,45,0.51605,0.7622908111142793
39,234.00005428911766,201,360,1.3224500000000001,2.228637916357454
40,234.73793855412202,599,68,0.56715,1.1191268387875337
41,244.93933143118505,457,260,1.11765,2.1259672616892558
42,260.1510680664288,435,339,1.36055,2.721156909892327
43,265.0286194520832,410,387,1.5029000000000001,4.726019122859216
44,276.9081753292196,139,346,1.24975,1.9831380750628826
45,284.6493580042358,503,383,1.5319500000000001,2.2422767710652014
46,287.40303364099486,463,44,0.42915000000000003,0.6226722700675626
47,288.00063482294166,138,342,1.2365,4.766832691816627
48,295.20396027876865,446,212,0.9591000000000001,1.8000772450376097
49,295.537586148892,712,513,2.0420000000000003,3.7145367597631807
50,295.7273553865636,1576,1212,4.6676,15.464638610381062
51,298.95373793183586,2149,650,3.12705,5.491617148613156
52,302.16727134523876,201,376,1.37365,1.929290051108296
53,305.95298893878385,1704,703,3.0964,6.153204617720439
54,314.55876721431207,1958,988,4.1227,12.079871636159334
55,323.67888460692916,242,180,0.7649000000000001,2.037261218094357
56,333.6861191551835,1085,1448,5.20185,12.244316795256832
57,336.40812609665215,492,295,1.2454,3.3348722121090355
58,343.4534584901574,96,379,1.336,2.767146505132135
59,346.07766173874074,2098,965,4.1121,6.085613984041042
60,347.8395939551018,441,308,1.2640500000000001,2.3180909472461373
61,356.72306233961774,1934,839,3.6351,9.755867222765993
62,358.405650188472,417,179,0.8404499999999999,1.8932405800764969
63,366.62835983166724,209,262,1.01245,1.5369444766632177
64,372.5623219408115,482,390,1.5449,3.6208589497354486
65,375.27543497739407,463,208,0.9539500000000001,2.7740990734531286
66,382.53810752227093,295,182,0.79515,1.2977948017974663
67,384.2230141278172,960,621,2.4992,3.705968003797008
68,386.5483341559533,205,326,1.2154500000000001,2.6163459267235214
69,388.58564072284673,491,246,1.08815,1.7135991255886658
70,390.0244604006316,501,236,1.0606499999999999,2.3442987505358985
71,390.9723749284363,505,235,1.05925,1.5988762345610756
72,399.08841043499655,2199,1074,4.50635,8.931821946482316
73,399.3380717282538,121,176,0.6976500000000001,2.4990351613490525
74,419.74852919051443,2150,485,2.5995,5.344243902681209
75,422.3943750260925,368,98,0.5591999999999999,1.777702715954836
76,430.51036403294705,139,345,1.24655,3.8041082403344286
77,431.14233294508074,793,1134,4.06565,14.90942959647483
78,432.46003800904674,1177,520,2.27365,3.9290054296463217
79,434.82438964317106,1913,766,3.3920500000000002,6.384794864155227
80,437.03557483108875,352,324,1.2752,1.99635963147457
81,440.0083396006651,162,235,0.9049,1.2825431994117769
82,441.7672737555698,1291,464,2.14575,2.9652710746407096
83,445.42234792408965,533,180,0.89585,1.444379526029648
84,449.7005530576492,783,1290,4.56035,7.30514932527385
85,449.7479264274447,579,133,0.7661500000000001,2.742088175729286
86,449.8749401543852,486,290,1.2267000000000001,3.178405923533035
87,457.22489204804185,308,54,0.3914,0.6309302450669004
88,458.8751044571241,1153,1406,5.09805,10.159590017910729
89,460.428444759314,672,934,3.3712000000000004,9.737134641293869
90,462.9733035971721,111,391,1.38115,2.8640680025226564
91,471.4403826568862,146,277,1.0321,1.9716681649884977
92,473.9804501434279,489,44,0.44084999999999996,0.8556423007975168
93,474.8290242234576,902,624,2.4827000000000004,8.48820931628933
94,475.54247036823614,888,1135,4.1116,10.318318442658068
95,476.63810651120417,533,102,0.64625,1.2108019870707674
96,478.1955376549813,362,339,1.3277,4.3869302812881035
97,479.2110168611532,568,383,1.5612,3.169819392756838
98,480.69423839367585,573,347,1.44825,2.5557212136860556
99,480.80064326222987,2057,1252,5.01205,11.909562415650738
100,482.8078015568706,100,292,1.0594000000000001,1.565295610298387
101,483.93326302605135,537,162,0.84005,1.4254280477548158
102,486.0095966148008,376,53,0.41879999999999995,1.463379971485696
103,487.4104823585598,99,313,1.12615,2.39232285931054
104,495.6550853666697,230,93,0.4811,1.0862081234974668
