request_id,arrival_time,input_len,output_len,slo_deadline,memory_need
0,2.2089147003754714,86,108,0.9489701964084138,194
1,3.5380280835869966,458,303,3.3067455783133757,761
2,9.51580941406305,208,324,1.7831482969844663,532
3,10.232585524125435,99,145,1.7650661016511406,244
4,13.219520035559906,642,96,2.423686777311537,738
5,14.573050798598569,2343,868,11.556481028327825,3211
6,18.064012862046457,411,441,3.128842059627525,852
7,30.699857041199063,1564,1537,11.480250202969454,3101
8,39.19318415674172,422,123,2.292341537004518,545
9,39.383453981831245,2583,687,4.395238177089803,3270
10,39.5244349986975,626,310,4.378913612971014,936
11,41.81394454690968,261,274,1.5110970263048,535
12,47.98133811034133,396,340,2.441294656508388,736
13,57.103366328162814,141,242,3.245764329478411,383
14,59.71629193069993,550,217,2.5289774028481258,767
15,60.47893498536583,261,275,1.6727104804257624,536
16,66.55053549258366,431,401,2.8807312789510897,832
17,73.22048059586054,2122,615,9.045161357547242,2737
18,83.71490348817622,101,179,1.426833327645463,280
19,86.19621075406114,654,246,4.228853703938307,900
20,86.92827240699968,2335,534,3.702215610799365,2869
21,93.25061823865127,691,417,4.265732737617376,1108
22,116.58626197484256,343,70,0.5987043666509936,413
23,126.71031725806445,1364,803,4.40021824412933,2167
24,127.7113618601735,498,112,1.21837454574346,610
25,137.43668243869746,80,184,1.2158165064343158,264
26,154.32413571056594,1327,607,7.67444427621584,1934
27,156.779767228563,529,323,3.260970384043242,852
28,168.38270403355168,783,1196,6.5080563554221245,1979
29,190.68845025545093,638,161,2.354463321949619,799
30,191.00007680718764,660,288,1.698435969265845,948
31,194.41157220581547,359,305,2.4175626521499938,664
32,208.76418804501074,519,233,1.5382412428693353,752
33,210.5036397383364,700,178,3.3881822882114063,878
34,214.5625733511847,84,366,3.4562678741671244,450
35,217.0625001554186,638,361,5.55947880419249,999
36,217.98063691941874,506,369,5.5148311293420305,875
37,218.15263687714284,562,45,0.8341790855924217,607
38,222.76484535491207,2020,1300,9.794015783486516,3320
39,225.5101638446999,198,209,2.3234732479257274,407
40,228.74349821816807,582,211,3.1813366298897012,793
41,237.2188686655191,609,246,3.9291511189882407,855
42,246.9936050704993,450,402,2.4398787424708708,852
43,275.4786799671509,567,286,2.1729722090457426,853
44,279.4865157681105,613,402,4.446872326027767,1015
45,293.46892869495406,329,426,2.1409497716342303,755
46,302.7613303302535,129,293,1.7630853984367219,422
47,309.2350159352733,570,222,3.306714172996613,792
48,310.7055687941524,395,114,1.2457809947648437,509
49,324.05569572945274,148,195,2.4548671799513864,343
50,327.3497876397074,774,1026,10.053131878343232,1800
51,327.4168320217764,479,304,4.196791080661154,783
52,339.73113145652013,496,109,1.8404761714955928,605
53,357.3089723006959,249,148,1.7532121211997294,397
54,358.93806631854073,463,420,2.0978413372184295,883
55,361.81840429925353,513,123,2.566106225668317,636
56,362.78797514640246,1939,515,3.663036014663006,2454
57,364.51848154842804,628,319,2.52384815430405,947
58,365.09428986468816,606,284,3.3773876047947895,890
59,373.18168350838266,581,440,5.993134422952408,1021
60,375.5755563031238,285,231,3.4896053632936157,516
61,376.26455224343147,425,89,1.4254009485600991,514
62,378.94095951785386,184,418,1.9565981245117723,602
63,382.92275754611154,400,281,2.011035377389497,681
64,383.0830907589242,356,75,0.9436784686829471,431
65,393.76530756749736,197,190,1.9759835179471106,387
66,397.5375052879049,467,402,2.2070408703448927,869
67,402.40784929650664,1239,1289,9.15467320523491,2528
68,407.56419455589463,248,226,1.5909268483544832,474
69,407.92806973304056,554,185,3.495900821794109,739
70,408.2042791868313,1573,1460,17.808751697200947,3033
71,417.52157746405584,588,213,3.3874522852789606,801
72,420.28588889709766,806,1507,17.860520505290978,2313
73,428.2195157240304,2533,1221,11.352683298939677,3754
74,437.34461313611195,2559,1068,11.707969621114463,3627
75,451.39097541683327,1699,1400,8.44822915192821,3099
76,454.27601766040095,211,227,1.7228994493583887,438
77,455.3453466008465,203,241,1.7716166934571895,444
78,455.7227564576793,607,143,2.4077296015946508,750
79,456.44630787837883,2004,947,11.307581150558292,2951
80,462.3459892740837,642,170,1.3884719767566638,812
81,462.8444689195548,242,143,1.6924837998966278,385
